"","l1","l2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"s.683","besonderer|ADJX","0.0040","besondererer","besondereres","besondereren","besonderersten","besondererem","besondererstem","besondererster","besondererst","besondererste","besondererstes","besonderere","besonderererem","besonderereren","besonderereres","besondererere","besonderererer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.684","besonders|ADV","0.5391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.685","besonnen|ADJX","0.0040","besonnenstes","besonnener","besonnenster","besonnenes","besonnenen","besonnensten","besonnenem","besonnenerem","besonneneren","besonnenstem","besonnenere","besonnenste","besonnenst","besonneneres","besonnene","besonnenerer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.686","besser|ADJX","0.0040","bessererer","besserere","bessereres","bessere","besserer","besseres","besserem","besseren","bessererem","bessereren","besserste","besserster","besserstes","besserst","besserstem","bessersten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.687","bessern|VVINF","0.0040","bessert","bessertet","bessere","gebessert","bessertest","besserten","besserte","besserst","besseren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.688","bestehen|VVINF","0.0040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.689","besten|ADJX","0.2291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.690","bestens|ADV","0.0808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.691","bestmöglich|ADJX","0.0040","bestmöglichen","bestmöglichst","bestmöglichem","bestmöglichere","bestmöglicheres","bestmöglicherer","bestmögliche","bestmöglicher","bestmöglicheren","bestmöglicherem","bestmögliches","bestmöglichste","bestmöglichstes","bestmöglichster","bestmöglichstem","bestmöglichsten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.692","bestätigen|VVINF","0.0854","bestätiget","bestätigte","bestätigtest","bestätigtet","bestätige","bestätigt","bestätigest","bestätigten","bestätigst","bestätig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.693","beteiligen|VVINF","0.0040","beteiligst","beteiliget","beteilig","beteiligten","beteiligte","beteiligtet","beteiligt","beteiligest","beteilige","beteiligtest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.694","beträchtlich|ADJX","0.0040","beträchtlichstes","beträchtlichster","beträchtlicher","beträchtlicheres","beträchtliches","beträchtlichsten","beträchtlicherer","beträchtlicheren","beträchtlichere","beträchtlichstem","beträchtlichem","beträchtlicherem","beträchtlichen","beträchtliche","beträchtlichst","beträchtlichste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.695","bevorzugt|ADJX","0.0040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.696","bewegend|ADJX","0.0040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.697","bewirken|VVINF","0.0040","bewirktet","bewirktest","bewirket","bewirkten","bewirkte","bewirkst","bewirk","bewirkest","bewirke","bewirkt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.698","bewundern|VVINF","0.0040","bewunderten","bewundertet","bewundert","bewundere","bewunderte","bewunderen","bewunderst","bewunder","bewundertest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.699","bewundernswert|ADJX","0.0823","bewundernswertesten","bewundernswerter","bewundernswertestem","bewundernswertes","bewundernswertem","bewundernswerten","bewundernswertest","bewundernswerterer","bewundernswertestes","bewundernswertester","bewundernswerteres","bewundernswertere","bewundernswerteste","bewundernswerteren","bewundernswerte","bewundernswerterem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.700","bewundert|ADJX","0.0040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.701","bewährt|VVINF","0.465","bewährteren","bewährtes","bewährterer","bewährtestes","bewährteres","bewährtester","bewährten","bewährtem","bewährtesten","bewährtestem","bewährter","bewährteste","bewährtere","bewährte","bewährtest","bewährterem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.702","bezaubernd|ADJX","0.3081","bezauberndst","bezauberndere","bezaubernderem","bezaubernde","bezauberndste","bezauberndstes","bezauberndster","bezaubernder","bezauberndem","bezaubernden","bezaubernderen","bezauberndstem","bezaubernderer","bezauberndsten","bezaubernderes","bezauberndes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.703","blendend|ADJX","0.3096","blendender","blendendem","blendenden","blendendste","blendendst","blendenderer","blendenderes","blendenderen","blendendes","blendenderem","blendendstes","blendendster","blendendere","blendendstem","blendende","blendendsten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.704","blühen|VVINF","0.2028","blüh","blühtet","blühst","blühte","geblüht","blühten","blühest","blühet","blüht","blühe","blühtest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.705","bombastisch|ADJX","0.2053","bombastischster","bombastischstes","bombastischsten","bombastischeren","bombastischerem","bombastischste","bombastischstem","bombastischerer","bombastische","bombastischeres","bombastischem","bombastischere","bombastisches","bombastischer","bombastischst","bombastischen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.706","bombig|ADJX","0.0837","bombigstem","bombigeren","bombigerem","bombigsten","bombigstes","bombigster","bombiger","bombiges","bombige","bombigen","bombigeres","bombigst","bombigem","bombigerer","bombigste","bombigere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.707","boomen|VVINF","0.0040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.708","brandneu|ADJX","0.0040","brandneuen","brandneuer","brandneues","brandneusten","brandneust","brandneustem","brandneuerem","brandneustes","brandneueren","brandneuster","brandneuerer","brandneuste","brandneueres","brandneuere","brandneuem","brandneue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.709","bravourös|ADJX","0.0040","bravourösem","bravourösen","bravouröseste","bravourösester","bravourösere","bravouröseres","bravouröserer","bravourösesten","bravouröserem","bravourösestem","bravouröseren","bravourösestes","bravourösest","bravouröse","bravouröses","bravouröser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.710","breitgefächert|ADJX","0.0040","breitgefächertster","breitgefächertstes","breitgefächerteren","breitgefächertsten","breitgefächertem","breitgefächerten","breitgefächerterem","breitgefächerter","breitgefächertere","breitgefächertstem","breitgefächerteres","breitgefächerterer","breitgefächertste","breitgefächertes","breitgefächerte","breitgefächertst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.711","brillant|ADJX","0.3064","brillantesten","brillanten","brillantem","brillanteren","brillantestem","brillanterem","brillantestes","brillantester","brillantes","brillantest","brillante","brillanter","brillanteres","brillanterer","brillanteste","brillantere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.712","brilliant|ADJX","0.183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.713","brillieren|VVINF","0.0040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.714","brüderlich|ADJX","0.0040","brüderliche","brüderlichste","brüderlichstes","brüderlicheres","brüderlicherer","brüderlichster","brüderlichen","brüderliches","brüderlichstem","brüderlichsten","brüderlicher","brüderlichst","brüderlicherem","brüderlichem","brüderlicheren","brüderlichere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.715","bunt|ADJX","0.3507","buntester","buntestes","bunterer","bunteres","buntesten","buntest","buntestem","buntere","bunte","bunteste","bunter","buntes","buntem","bunten","bunteren","bunterem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.716","bärenstark|ADJX","0.0040","bärenstarkst","bärenstarkster","bärenstarkere","bärenstarkstes","bärenstarksten","bärenstarke","bärenstarkstem","bärenstarker","bärenstarkeres","bärenstarkes","bärenstarkerer","bärenstarkem","bärenstarken","bärenstarkste","bärenstarkerem","bärenstarkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.717","charakterstark|ADJX","0.0040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.718","charismatisch|ADJX","0.0040","charismatischerer","charismatischeres","charismatischste","charismatischeren","charismatischerem","charismatischst","charismatische","charismatischere","charismatischem","charismatischstem","charismatischsten","charismatischen","charismatisches","charismatischster","charismatischer","charismatischstes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.719","charmant|ADJX","0.3223","charmante","charmantere","charmanteren","charmanterem","charmantester","charmantestes","charmantest","charmanten","charmantem","charmanteres","charmanterer","charmantes","charmanteste","charmanter","charmantestem","charmantesten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.720","chic|ADJX","0.0787","chicster","chicstes","chicstem","chicsten","chicere","chicste","chicst","chicem","chiceren","chicerem","chicerer","chice","chices","chicer","chiceres","chicen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.721","clever|ADJX","0.2243","cleverem","clevererem","clevereren","clevere","clevrerer","clevreres","clevrerem","clevrer","clevrere","cleversten","cleverste","clevreren","cleverstem","cleverstes","cleverere","cleverster","clevererer","cleverst","cleveren","clevereres","cleveres","cleverer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.722","cool|ADJX","0.0040","coolsten","coolstem","coolst","coolster","coolstes","coolerem","cooleren","cooler","cooles","coolerer","coolste","coole","coolen","cooleres","coolem","coolere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.723","dankbar|ADJX","0.0854","dankbares","dankbarer","dankbarst","dankbarerer","dankbaren","dankbareres","dankbarem","dankbarere","dankbarstem","dankbarsten","dankbarste","dankbarster","dankbarstes","dankbare","dankbarerem","dankbareren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.724","danken|VVINF","0.191","dankte","danktet","danktest","dankst","dankest","dankt","danke","gedankt","dankten","danket","dank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.725","dauerhaft|ADJX","0.205","dauerhaften","dauerhaftem","dauerhaftere","dauerhafteste","dauerhafteren","dauerhafterem","dauerhafte","dauerhafter","dauerhafteres","dauerhafterer","dauerhaftes","dauerhaftest","dauerhaftestes","dauerhaftester","dauerhaftestem","dauerhaftesten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.726","denkwürdig|ADJX","0.0040","denkwürdigere","denkwürdigstes","denkwürdige","denkwürdiges","denkwürdigster","denkwürdiger","denkwürdigen","denkwürdigem","denkwürdigeren","denkwürdigerem","denkwürdigste","denkwürdigerer","denkwürdigst","denkwürdigstem","denkwürdigsten","denkwürdigeres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.727","detailliert|ADJX","0.0040","detailliertest","detaillierterer","detaillierteres","detaillierte","detailliertesten","detailliertestem","detailliertere","detaillierteren","detaillierterem","detaillierter","detailliertes","detailliertestes","detaillierteste","detailliertester","detailliertem","detaillierten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
