"","l1","l2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"s.611","Verminderung|NN","-0.0048","Verminderungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.612","Vernachlässigung|NN","-0.328","Vernachlässigungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.613","Vernichtung|NN","-0.4883","Vernichtungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.614","Verrat|NN","-0.0048","Verrats","Verraten","Verrate","Verrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.615","Verräter|NN","-0.3352","Verräters","Verrätern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.616","Verrückter|NN","-0.0447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.617","Verrücktheit|NN","-0.0048","Verrücktheiten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.618","Versagen|NN","-0.3517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.619","Verschlechterung|NN","-0.4959","Verschlechterungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.620","Verschmutzung|NN","-0.3392","Verschmutzungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.621","Verschwendung|NN","-0.0048","Verschwendungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.622","Verschwörung|NN","-0.3355","Verschwörungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.623","Versenkung|NN","-0.0048","Versenkungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.624","Versklavung|NN","-0.0048","Versklavungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.625","Verstoß|NN","-0.0048","Verstoßes","Verstöße","Verstößen","Verstoßs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.626","Verstrickung|NN","-0.0048","Verstrickungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.627","Versuchung|NN","-0.3463","Versuchungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.628","Versäumnis|NN","-0.0048","Versäumniss","Versäumnise","Versäumnises","Versäumnisen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.629","Vertreibung|NN","-0.0048","Vertreibungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.630","Verurteilung|NN","-0.0048","Verurteilungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.631","Verweigerung|NN","-0.3441","Verweigerungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.632","Verwerfung|NN","-0.3202","Verwerfungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.633","Verwirrung|NN","-0.3323","Verwirrungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.634","Verwundung|NN","-0.0048","Verwundungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.635","Verwüstung|NN","-0.0048","Verwüstungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.636","Verzerrung|NN","-0.0048","Verzerrungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.637","Verzicht|NN","-0.2022","Verzichts","Verzichtes","Verzichten","Verzichte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.638","Verzweiflung|NN","-0.0048","Verzweiflungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.639","Verzögerung|NN","-0.0048","Verzögerungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.640","Vorurteil|NN","-0.6261","Vorurteils","Vorurteilen","Vorurteile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.641","Vorwand|NN","-0.0048","Vorwände","Vorwandes","Vorwands","Vorwänden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.642","Vorwurf|NN","-0.5095","Vorwürfen","Vorwurfs","Vorwürfe","Vorwurfes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.643","Wahnsinn|NN","-0.0048","Wahnsinns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.644","Wermutstropfen|NN","-0.3356","Wermutstropfens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.645","Wertlosigkeit|NN","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.646","Wertverlust|NN","-0.0048","Wertverluste","Wertverlustes","Wertverlusts","Wertverlusten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.647","Wichtigtuer|NN","-0.0048","Wichtigtuers","Wichtigtuern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.648","Widernatürlichkeit|NN","-0.0048","Widernatürlichkeiten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.649","Widerruf|NN","-0.0048","Widerrufs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.650","Widerspruch|NN","-0.3655","Widersprüche","Widersprüchen","Widerspruchs","Widerspruches",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.651","Widrigkeit|NN","-0.0048","Widrigkeiten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.652","Wirtschaftskrise|NN","-0.0048","Wirtschaftskrisen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.653","Wrack|NN","-0.0048","Wracks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.654","Wunde|NN","-0.3396","Wunden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.655","Wut|NN","-0.4726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.656","Wüste|NN","-0.0048","Wüsten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.657","Zahlungsunfähigkeit|NN","-0.0048","Zahlungsunfähigkeiten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.658","Zeitverschwendung|NN","-0.3223","Zeitverschwendungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.659","Zensur|NN","-0.3468","Zensuren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.660","Zerrung|NN","-0.0048","Zerrungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.661","Zerschlagung|NN","-0.0048","Zerschlagungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.662","Zerstörung|NN","-0.3578","Zerstörungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.663","Ziellosigkeit|NN","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.664","Zoll|NN","-0.0048","Zolls","Zölle","Zolln","Zolles","Zöllen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.665","Zorn|NN","-0.3537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.666","Zumutung|NN","-0.3286","Zumutungen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.667","Zusammenbruch|NN","-0.0048","Zusammenbrüche","Zusammenbruchs","Zusammenbruches","Zusammenbrüchen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.668","Zusammenstoß|NN","-0.3302","Zusammenstoßes","Zusammenstöße","Zusammenstoßs","Zusammenstößen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.669","Zwang|NN","-0.0721","Zwanges","Zwängen","Zwänge","Zwangs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.670","Zwangslage|NN","-0.0048","Zwangslagen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.671","Zwangsmaßnahmen|NN","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.672","Zweifel|NN","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.673","Zwietracht|NN","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.674","abbauen|VVINF","-0.0578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.675","abbrechen|VVINF","-0.3482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.676","abdanken|VVINF","-0.0048","abgedankt","abdanke","abdankte","abdank","abdankt","abdanktet","abdankest","abdankst","abdanktest","abdankten","abdanket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.677","abdämpfen|VVINF","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.678","abfallen|VVINF","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.679","abfällig|ADJX","-0.3197","abfälligstes","abfälligster","abfälligste","abfälligsten","abfälligst","abfälligstem","abfällige","abfälligerer","abfälliger","abfälligere","abfälliges","abfälligeren","abfälligerem","abfälligen","abfälligem","abfälligeres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.680","abführen|VVINF","-0.3358","abführtet","abführt","abführst","abführe","abführte","abführet","abführ","abgeführt","abführtest","abführten","abführest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.681","abgebrochen|ADJX","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.682","abgedroschen|ADJX","-0.1839","abgedroschner","abgedroschenste","abgedroschenem","abgedroscheneres","abgedroschenst","abgedroschenerer","abgedroschener","abgedroschenes","abgedroschenerem","abgedroscheneren","abgedroschneren","abgedroschenen","abgedroschnerem","abgedroschneres","abgedroschnerer","abgedroschensten","abgedroschenere","abgedroschenstem","abgedroschenstes","abgedroschenster","abgedroschnere","abgedroschene",NA,NA,NA,NA,NA,NA
"s.683","abgestanden|ADJX","-0.0368","abgestandnerer","abgestandneres","abgestandenen","abgestandenem","abgestandenes","abgestandener","abgestandenstes","abgestandenere","abgestandenster","abgestandenstem","abgestandensten","abgestandenste","abgestandnere","abgestandene","abgestandeneren","abgestandenerem","abgestandenst","abgestandneren","abgestandeneres","abgestandnerem","abgestandenerer","abgestandner",NA,NA,NA,NA,NA,NA
"s.684","abgetakelt|ADJX","-0.0048","abgetakeltstem","abgetakeltere","abgetakeltste","abgetakeltsten","abgetakeltstes","abgetakeltster","abgetakelten","abgetakelteren","abgetakeltem","abgetakeltst","abgetakelte","abgetakelterem","abgetakeltes","abgetakelter","abgetakelterer","abgetakelteres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.685","abgleiten|VVINF","-0.0397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.686","abgründig|ADJX","-0.1719","abgründiger","abgründiges","abgründigst","abgründigste","abgründigstem","abgründige","abgründigeres","abgründigsten","abgründigerer","abgründigerem","abgründigeren","abgründigster","abgründigstes","abgründigen","abgründigem","abgründigere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.687","abhängig|ADJX","-0.0048","abhängigstem","abhängigsten","abhängiges","abhängiger","abhängigere","abhängigem","abhängigen","abhängigste","abhängigerer","abhängigeres","abhängigster","abhängigstes","abhängigerem","abhängige","abhängigeren","abhängigst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.688","ablaufen|VVINF","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.689","ablehnen|VVINF","-0.6458","ablehn","ablehntest","ablehnten","ablehnest","ablehnet","ablehntet","ablehnst","ablehnte","ablehnt","ablehne","abgelehnt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.690","ablenken|VVINF","-0.042","ablenket","ablenkten","abgelenkt","ablenke","ablenkte","ablenkt","ablenktet","ablenkst","ablenkest","ablenk","ablenktest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.691","abnehmen|VVINF","-0.0292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.692","abnutzen|VVINF","-0.0417","abnutzten","abgenutzt","abnutzte","abnutze","abnutztest","abnutzt","abnutz","abnutztet","abnutzet","abnutzest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.693","abraten|VVINF","-0.3353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.694","abreissen|VVINF","-0.3116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.695","abrupt|ADJX","-0.0048","abruptestes","abruptester","abrupteste","abruptesten","abruptestem","abrupte","abrupteren","abrupterem","abruptest","abrupteres","abrupterer","abrupten","abruptem","abruptere","abruptes","abrupter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.696","abrutschen|VVINF","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.697","abschaffen|VVINF","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.698","abschießen|VVINF","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.699","abschrecken|VVINF","-0.178","abschrecket","abschreck","abschreckest","abschreckten","abschreckte","abschrecktest","abschreckt","abschrecke","abschreckst","abgeschreckt","abschrecktet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.700","abschreckend|VVINF","-0.049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.701","abschreiben|VVINF","-0.1847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.702","abschwächen|VVINF","-0.0048","abschwächt","abschwäche","abschwächten","abschwächte","abschwäch","abschwächst","abgeschwächt","abschwächtest","abschwächet","abschwächest","abschwächtet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.703","abschätzig|ADJX","-0.0048","abschätzigere","abschätzigeres","abschätzigerer","abschätzigeren","abschätzigem","abschätzigerem","abschätzigstes","abschätzigen","abschätzigst","abschätzige","abschätziger","abschätziges","abschätzigste","abschätzigsten","abschätzigstem","abschätzigster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.704","absenken|VVINF","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.705","absinken|VVINF","-0.3269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.706","abspalten|VVINF","-0.3099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.707","absperren|VVINF","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.708","absteigen|VVINF","-0.4776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.709","abstoßen|VVINF","-0.1796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.710","abstoßend|ADJX","-0.5859","abstoßendstem","abstoßendsten","abstoßenderer","abstoßendster","abstoßendere","abstoßenderes","abstoßendst","abstoßendstes","abstoßende","abstoßenden","abstoßendem","abstoßendes","abstoßender","abstoßendste","abstoßenderen","abstoßenderem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.711","abstumpfen|VVINF","-0.0048","abstumpf","abstumpfet","abstumpfest","abstumpften","abgestumpft","abstumpftet","abstumpfe","abstumpftest","abstumpfte","abstumpft","abstumpfst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.712","abstürzen|VVINF","-0.4697","abstürztet","abstürzt","abstürze","abstürzte","abstürz","abstürzet","abstürzest","abstürzten","abgestürzt","abstürztest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.713","absurd|ADJX","-0.212","absurdester","absurdestes","absurderer","absurdesten","absurden","absurdem","absurderen","absurderem","absurdestem","absurdere","absurdeste","absurde","absurder","absurdest","absurdes","absurderes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.714","abtragen|VVINF","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.715","abweichen|VVINF","-0.3422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.716","abweisen|VVINF","-0.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.717","abwerten|VVINF","-0.4521","abwertest","abgewertet","abwerttest","abwertten","abwert","abwertete","abwerteten","abwerte","abwertetet","abwertte","abwerttet","abwertetest","abwertet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.718","achtlos|ADJX","-0.0048","achtloses","achtlosere","achtlosestes","achtlosester","achtlose","achtlosest","achtloseren","achtloseste","achtloseres","achtloserer","achtlosestem","achtlosesten","achtloser","achtlosen","achtlosem","achtloserem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.719","aggressiv|ADJX","-0.4484","aggressivst","aggressiveren","aggressiverem","aggressivster","aggressiverer","aggressiven","aggressivem","aggressivsten","aggressives","aggressivste","aggressiver","aggressivstem","aggressiveres","aggressivstes","aggressivere","aggressive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.720","alarmieren|VVINF","-0.0048","alarmiertest","alarmieret","alarmierten","alarmiere","alarmiertet","alarmier","alarmierest","alarmierst","alarmierte","alarmiert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.721","alkoholisiert|ADJX","-0.0048","alkoholisierten","alkoholisiertem","alkoholisierteste","alkoholisierte","alkoholisiertester","alkoholisiertestes","alkoholisiertes","alkoholisiertest","alkoholisiertesten","alkoholisierter","alkoholisiertestem","alkoholisierterer","alkoholisiertere","alkoholisierteres","alkoholisierteren","alkoholisierterem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.722","alt|ADJX","-0.0048","alte","altem","alten","ältest","alter","altes","älteres","ältester","älterer","älter","ältere","älterem","ältestem","ältesten","älteren","älteste","ältestes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.723","altmodisch|ADJX","-0.0382","altmodische","altmodischstes","altmodischere","altmodischeres","altmodischster","altmodischerer","altmodischstem","altmodischsten","altmodischer","altmodisches","altmodischem","altmodischen","altmodischste","altmodischst","altmodischeren","altmodischerem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s.724","amateurhaft|ADJX","-0.4485","amateurhaftes","amateurhaftestes","amateurhafterem","amateurhaftester","amateurhaftem","amateurhaften","amateurhaftestem","amateurhaftesten","amateurhaftest","amateurhafte","amateurhafter","amateurhafteren","amateurhafterer","amateurhaftere","amateurhafteres","amateurhafteste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
