"","word","values"
"193","Auseinandersetzung","-0.0603"
"194","Auseinandersetzungen","-0.0603"
"195","Ausfall","-0.2164"
"196","Ausfällen","-0.2164"
"197","Ausfälle","-0.2164"
"198","Ausfalles","-0.2164"
"199","Ausfalls","-0.2164"
"200","Ausgrenzung","-0.626"
"201","Auslöschung","-0.0048"
"202","Auslöschungen","-0.0048"
"203","Ausrottung","-0.0048"
"204","Ausrottungen","-0.0048"
"205","Ausschließung","-0.0048"
"206","Ausschließungen","-0.0048"
"207","Aussetzung","-0.0048"
"208","Aussetzungen","-0.0048"
"209","Banalität","-0.0048"
"210","Banalitäten","-0.0048"
"211","Bankrott","-0.0048"
"212","Bankrotte","-0.0048"
"213","Bankrotts","-0.0048"
"214","Bankrottes","-0.0048"
"215","Bankrotten","-0.0048"
"216","Barriere","-0.0048"
"217","Barrieren","-0.0048"
"218","Bedeutungslosigkeit","-0.0048"
"219","Bedrohung","-0.0048"
"220","Bedrohungen","-0.0048"
"221","Bedrängung","-0.0048"
"222","Bedrängungen","-0.0048"
"223","Bedrückung","-0.0435"
"224","Bedrückungen","-0.0435"
"225","Bedürftige","-0.0048"
"226","Beeinträchtigung","-0.3472"
"227","Beeinträchtigungen","-0.3472"
"228","Befall","-0.0048"
"229","Befalls","-0.0048"
"230","Befälle","-0.0048"
"231","Befällen","-0.0048"
"232","Befalles","-0.0048"
"233","Befangenheit","-0.0048"
"234","Befangenheiten","-0.0048"
"235","Befürchtung","-0.4903"
"236","Befürchtungen","-0.4903"
"237","Begrenzung","-0.0048"
"238","Begrenzungen","-0.0048"
"239","Behinderung","-0.3578"
"240","Behinderungen","-0.3578"
"241","Belastung","-0.3711"
"242","Belastungen","-0.3711"
"243","Beleidigung","-0.3432"
"244","Beleidigungen","-0.3432"
"245","Belästigung","-0.0048"
"246","Belästigungen","-0.0048"
"247","Beschneidung","-0.3313"
"248","Beschneidungen","-0.3313"
"249","Beschränkung","-0.3518"
"250","Beschränkungen","-0.3518"
"251","Beschuldigung","-0.3209"
"252","Beschuldigungen","-0.3209"
"253","Beschwerde","-0.0048"
"254","Beschwerden","-0.0048"
"255","Beschwerlichkeit","-0.0048"
"256","Beschwerlichkeiten","-0.0048"
"257","Beschädigung","-0.0048"
"258","Beschädigungen","-0.0048"
"259","Beschäftigungslose","-0.0048"
"260","Beschäftigungsloser","-0.0048"
"261","Beschämung","-0.0048"
"262","Beschämungen","-0.0048"
"263","Beseitigung","-0.0048"
"264","Beseitigungnen","-0.0048"
"265","Beseitigungen","-0.0048"
"266","Besorgnis","-0.0048"
"267","Besorgnissen","-0.0048"
"268","Besorgnisse","-0.0048"
"269","Bestechung","-0.0048"
"270","Bestechungen","-0.0048"
"271","Besteuerung","-0.0048"
"272","Besteuerungen","-0.0048"
"273","Bestrafung","-0.0048"
"274","Bestrafungen","-0.0048"
"275","Bestürzung","-0.0048"
"276","Betrug","-0.4913"
"277","Betrugs","-0.4913"
"278","Betruges","-0.4913"
"279","Betrüger","-0.3311"
"280","Betrügers","-0.3311"
"281","Betrügern","-0.3311"
"282","Beule","-0.0048"
"283","Beulen","-0.0048"
"284","Beunruhigung","-0.324"
"285","Beunruhigungen","-0.324"
"286","Bevormundung","-0.0048"
"287","Bevormundungen","-0.0048"
"288","Bitterkeit","-0.0048"
"289","Blindheit","-0.0048"
"290","Blockade","-0.0048"
"291","Blockaden","-0.0048"
"292","Blockierung","-0.0048"
"293","Blockierungen","-0.0048"
"294","Blödheit","-0.0048"
"295","Blödheiten","-0.0048"
"296","Bombardement","-0.0048"
"297","Bombardements","-0.0048"
"298","Bombardierung","-0.0048"
"299","Bombardierungen","-0.0048"
"300","Bombe","-0.0048"
"301","Bomben","-0.0048"
"302","Bosheit","-0.3371"
"303","Bosheiten","-0.3371"
"304","Brand","-0.0048"
"305","Bränden","-0.0048"
"306","Brände","-0.0048"
"307","Brandes","-0.0048"
"308","Brands","-0.0048"
"309","Bruch","-0.3463"
"310","Bruchs","-0.3463"
"311","Brüche","-0.3463"
"312","Bruches","-0.3463"
"313","Brüchen","-0.3463"
"314","Brutalität","-0.0048"
"315","Brutalitäten","-0.0048"
"316","Bußgeld","-0.3377"
"317","Bußgeldes","-0.3377"
"318","Bußgelds","-0.3377"
"319","Bußgelder","-0.3377"
"320","Bußgeldern","-0.3377"
"321","Bösartigkeit","-0.3189"
"322","Bösewicht","-0.0048"
"323","Bösewichten","-0.0048"
"324","Bösewichte","-0.0048"
"325","Bösewichts","-0.0048"
"326","Bösewichtes","-0.0048"
"327","Bürde","-0.0524"
"328","Bürden","-0.0524"
"329","Chaos","-0.3489"
"330","Crash","-0.1885"
"331","Crashs","-0.1885"
"332","Defekt","-0.0048"
"333","Defekten","-0.0048"
"334","Defekts","-0.0048"
"335","Defektes","-0.0048"
"336","Defekte","-0.0048"
"337","Defizit","-0.347"
"338","Defiziten","-0.347"
"339","Defizits","-0.347"
"340","Defizite","-0.347"
"341","Deformation","-0.0048"
"342","Deformationen","-0.0048"
"343","Degradierung","-0.3137"
"344","Degradierungen","-0.3137"
"345","Dekadenz","-0.0048"
"346","Demütigung","-0.0048"
"347","Demütigungen","-0.0048"
"348","Denkfehler","-0.0048"
"349","Denkfehlern","-0.0048"
"350","Denkfehlers","-0.0048"
"351","Depression","-0.4951"
"352","Depressionen","-0.4951"
"353","Desaster","-0.3413"
"354","Desastern","-0.3413"
"355","Desasters","-0.3413"
"356","Desinteresse","-0.3348"
"357","Desinteresses","-0.3348"
"358","Dezimierung","-0.0048"
"359","Dezimierungen","-0.0048"
"360","Dieb","-0.1962"
"361","Diebes","-0.1962"
"362","Diebs","-0.1962"
"363","Dieben","-0.1962"
"364","Diebe","-0.1962"
