"candidates","Intercept","neg.x","pos.x","hashtag_count.x","URL_dummy","tweet_count","mean_pos","median_pos","var_pos","neg.y","pos.y","V2","followers_count","retweet_count","favorite_count","hashtag_count.y","party","land","opposition","extremity"
"_neoton",1.02113908227246,1.3167430182973,1.46851226481727,0.645055269119677,-0.23247683351931,10,-0.717368311752662,-0.6303799292901,1.68343949555831,0.20507,0.16354,0.36861,183.1,8.6,10.2,1.9,"DIE LINKE","Hessen",1,0.397378855251792
"ac_sparn",0.398940852869349,-1.76113354261797,0.0311151956872767,0.207206166596551,-0.405314438439633,45,-0.564550314972307,-0.123951064588951,2.26534178299885,0.0447133333333333,0.314008888888889,0.358722222222222,15,0.155555555555556,0.911111111111111,0.355555555555556,"DIE LINKE","Hessen",1,0.0153638664127343
"afdgerd",-0.790328808093051,-0.114870114287082,5.17746658308787,0.435576938529575,1.05784993532854,185,3.37552872817062,3.57284745811865,3.75531394383896,0.039587027027027,0.092767027027027,0.132354054054054,38.3837837837838,1.38918918918919,2.45405405405405,0.0648648648648649,"AfD","Bayern",1,12.7652389589849
"afdmuenchenland",0.589918421291685,0.762048092885507,0.59757226830381,0.233921622101641,-0.288417566947051,2196,4.21762075786264,4.47712293463542,3.13411650838527,0.100991848816029,0.0882786429872496,0.189270491803279,220.831056466302,0.737249544626594,1.29189435336976,0.608834244080146,"AfD","Bayern",1,20.0446297718385
"andreagerlach5",0.504541207220271,-1.15569672304064,0.00742539440234191,0.240491347131424,1.44281890510775,143,-0.896696492829278,-0.650837974572606,2.05231088687676,0.0425846153846154,0.172152447552448,0.214737062937063,113.769230769231,1.42657342657343,6.89510489510489,1.72727272727273,"SPD","Hessen",1,0.423590069145772
"andreaslichert",2.27802396980101,-0.978076195891528,0.915849057083215,0.646033038617551,0.01814228508748,15,2.69495525245878,2.69795631483748,2.07834257259046,0.10762,0.288646666666667,0.396266666666667,491.6,6.4,7.06666666666667,0.133333333333333,"AfD","Hessen",1,7.27896827677144
"angela_dorn",1.33935075223295,1.87163461706192,-0.140751930509796,0.0845413914697819,1.169179589963,388,-0.891574410802931,-0.709824297799226,1.83902599750647,0.0691693298969072,0.224718041237113,0.293887371134021,2709.9381443299,2.08247422680412,9.69845360824742,0.925257731958763,"GRUENE","Hessen",0,0.503850533746164
"arif_tasdelen",2.49952591359276,-5.07714545883162,-0.459659169453967,0.00348226056824934,-1.02174162861314,15,-0.468293710286308,-0.387654380298567,2.55382461260074,0.0340733333333333,0.0237866666666667,0.05786,387,0.6,5.06666666666667,2.4,"SPD","Bayern",1,0.150275918564666
"arnoennersafd",0.762077881627537,-0.00379018198005763,-1.86733316445265,-0.129323603789111,1.82879237328921,70,3.03144012386452,3.18094681631082,1.94485301185133,0.0535485714285714,0.08949,0.143038571428571,141.685714285714,1.85714285714286,4.54285714285714,1.37142857142857,"AfD","Hessen",1,10.1184226481979
"atesguerpinar",0.906012957473701,0.0690723986531961,0.756555887599564,0.702324742261006,1.38573911051668,215,-0.722136430495182,-0.427922890077748,2.0048937192967,0.109422790697674,0.124541860465116,0.233964651162791,512.074418604651,5.03255813953488,16.6093023255814,1.25581395348837,"DIE LINKE","Bayern",1,0.183117999852492
"bernhardzimmer",0.0812815755510417,0.232336222613682,0.575898387403617,-0.0458112605265246,-1.07700391866221,498,-1.50652106012854,-1.7143083453152,3.06854112028273,0.0595600401606426,0.112372891566265,0.171932931726908,84.2168674698795,0.0421686746987952,0.437751004016064,0.331325301204819,"GRUENE","Bayern",1,2.93885310281734
"bettinabloehm",0.596125415410382,1.32533597098556,0.459034226174255,0.23452057615321,-0.428541811877044,711,-1.24341718725274,-1.3301719189979,2.86656678312082,0.0391983122362869,0.065179746835443,0.10437805907173,174.544303797468,0.248945147679325,2.23909985935302,1.30942334739803,"SPD","Bayern",1,1.76935733409056
"breymj",0.60747351844048,-0.140132014791947,1.87270555696542,0.887223467016211,0.989287672806632,131,-0.784956135232792,-0.762453485520367,2.30980928276484,0.053987786259542,0.113658015267176,0.167645801526718,1369.23664122137,1.01526717557252,6.6412213740458,0.183206106870229,"DIE LINKE","Bayern",1,0.581335317582156
"c_arabackyj_spd",2.38487282115352,-1.72479641651312,-1.57498410229055,-0.299433135857132,1.28667656487516,37,-0.817644501967333,-0.710947264100512,3.04703067122228,0.0315540540540541,0.28472972972973,0.316283783783784,74,1.10810810810811,4.05405405405405,5.7027027027027,"SPD","Bayern",1,0.505446012332003
"christianflisek",1.3860104018164,0.644135598322264,1.02452871101602,0.257912320668979,0.243302869064072,178,-0.811000480429558,-0.401801527122547,2.55920661082445,0.0745426966292135,0.11772191011236,0.192264606741573,4400.22471910112,1.06179775280899,5.62921348314607,0.601123595505618,"SPD","Bayern",1,0.161444467198011
"christophdegen",0.565120613410876,-0.222968496124766,0.420597787518907,0.453875163610636,1.74380778178487,38,-0.585735747937277,-0.236604234429689,1.78792135403797,0.0348842105263158,0.183276315789474,0.218160526315789,1106.97368421053,1.52631578947368,8.21052631578947,0.263157894736842,"SPD","Hessen",1,0.0559815637500592
"clbreest",0.142568982375648,-0.731235274339927,0.322075242471781,0.0637540015238531,0.909118137788758,245,-0.381140160184758,0.501133809003252,2.31630214423086,0.0824808163265306,0.128029795918367,0.210510612244898,120.085714285714,0.76734693877551,2.42857142857143,3.11020408163265,"GRUENE","Hessen",0,0.251135094526108
