"number","text","code","Anmerkung"
"63","Für den Ausbau von ÖPNV und Radverkehr zum Schutz des Klimas! 

Darüber diskutieren morgen Jan Schalauske, unser Spitzenkandidat und Landesvorsitzender, Dennis Eckold, Direktkandidat im Darmstädter Wahlkreis 49... https://t.co/O9pctkLr6o","",""
"69","MEHR ...
... bezahlbare Wohnungen schaffen 

Unsere Städte sind nicht nur für die Reichen da. Wir schaffen mindestens 10.000 neue Sozialwohnungen und 2.000 Studierendenwohnungen im Jahr. Sozialwohnungen sollen... https://t.co/ClWX2jEnxV","",""
"70","#hrWAHL - Der Kandidatencheck zur Landtagswahl in Hessen: Schaut rein <U+0001F60A> https://t.co/HrVBUQQzD6","",""
"73","Ich hatte heute eine spannende Diskussion über den sozialen Wohnungsbau in Hessen auf Einladung des DGB.<U+0001F3DA><U+FE0F><U+0001F3E1>
Es ist deutlich geworden: Der Markt reguliert sich eben nicht von selbst! 
Hierzu noch ein Veranstaltungshinweis:  https://t.co/mrMH48m8dc https://t.co/va0phaGEKP","",""
"74","Eine schöne Veranstaltung gestern mit Die Linke. Darmstadt-Dieburg und den Direktkandidaten @TimDreyer92 und Ine Friedrich. 
Besonders klasse waren die Reden unseres Spitzenkandidaten in Hessen Jan Schalauske und von unserem Vorsitzenden der Bundestagsfraktion @DietmarBartsch. https://t.co/PFPGt4XLZC","",""
"77","Ein wunderbarer Nachmittag/Abend ist zu Ende und ich habe mich über die super Beiträge von Janine Wissler und Jan Schalauske gefreut und natürlich besonders über unseren Gregor Gysi, der mal wieder mit viel... https://t.co/IHI3yHCWeI","",""
"79","Ein wunderbarer Nachmittag/Abend ist zu Ende und ich habe mich über die super Beiträge von @Janine_Wissler und Jan Schalauske gefreut und natürlich besonders über unseren @GregorGysi , der mal wieder mit viel Kenntnis und Witz die aktuelle Politik auseinandergenommen hat. https://t.co/L7CuUe7IWt","",""
"81","Der Wahl-O-Mat für die kommenden Landtagswahlen in Hessen ist online. 

Einfach mal ausprobieren und herausfinden, welche Partei Eure Interessen für eine soziale und gerechte Zukunft wirklich vertritt! <U+0001F609> https://t.co/xdnkMDyKMk","",""
"82","Endlich #MehrfürdieMehrheit 

Anstatt mit Spardiktat und Sozialabbau unsere Gemeinschaft zu zerstören, brauchen wir ein Umdenken und Investitionen in die Grundlagen unserer Gesellschaft. 

#dielinke #Hessen #Darmstadt https://t.co/WTaQ3o9iWR","",""
"87","Der letzte Infostand heute ist zu Ende gegangen , jetzt heißt es nur noch Daumen drücken für morgen <U+0001F44D><U+0001F3FD><U+274C>

Miethaie zu Fischstäbchen <U+0001F988> https://t.co/dxpYPRx28b","",""
